web-scraper-order,web-scraper-start-url,TIENDA,TIENDA-href,PRODUCTOS,PRODUCTOS-href,DESCRIPCION,IMAGEN-src,TEXTOPROD,PRECIO
"1604870645-2162","https://biotico.co/","Ir a la tienda","https://biotico.co/tienda/","P. Piernas de pollo campesino empacada al vacío. Pacho, Cund. – (1.000 g)","https://biotico.co/tienda/pollo-campesino/piernitas-de-pollo-campesino-empacada-al-vacio-1-000-g/","","https://i2.wp.com/biotico.co/wp-content/uploads/2020/08/piernitas-de-pollo.jpg?ssl=1","",""
"1604870496-2048","https://biotico.co/","Ir a la tienda","https://biotico.co/tienda/","Falafels de garabanzo vegano (5 uds.)","https://biotico.co/tienda/veggielistos/falafels-de-garabanzo-x-5-vegano/","","https://i2.wp.com/biotico.co/wp-content/uploads/2018/10/falafel.jpg?ssl=1","",""
"1604870326-1897","https://biotico.co/","Ir a la tienda","https://biotico.co/tienda/","Jabón de baño ecológico hojas de té y aloe vera. (Galón)","https://biotico.co/tienda/hogar-ecologico/jabon-para-ducha-ecologico-de-sabila-y-aloe-vera-galon/","","","","$53,000"
"1604870411-1977","https://biotico.co/","Ir a la tienda","https://biotico.co/tienda/","Fruta: Lulo. Ecológico de confianza. 500 g.  San Franisco, Cundinamarca. Agricultura familiar.","https://biotico.co/tienda/frutasbiotico/lulo-ecologico-de-confianza-500-g-san-francisco-cundinamarca-a/","Fruta: Lulo. Ecológico de confianza. 500 g.  San Franisco, Cundinamarca. Agricultura familiar.","","",""
"1604870387-1959","https://biotico.co/","Ir a la tienda","https://biotico.co/tienda/","Frutas: Manzana criolla.  Monterrey, Casanare – BPA (500 g)","https://biotico.co/tienda/frutasbiotico/manzana-criolla-monterrey-casanare-bpa-500-g/","Frutas: Manzana criolla.  Monterrey, Casanare – BPA (500 g)","","",""
"1604870425-1991","https://biotico.co/","Ir a la tienda","https://biotico.co/tienda/","Fruta. Fresas de producción limpia x 500g. Vda. Alto Cascajal. Subachoque, Cundinamarca.","https://biotico.co/tienda/frutasbiotico/fresasubachoque/","","https://i2.wp.com/biotico.co/wp-content/uploads/2017/01/cropped-13606770_10157068311795526_4177159778055929561_n1.png?ssl=1","",""
"1604870752-2249","https://biotico.co/","Ir a la tienda","https://biotico.co/tienda/","Spirulina deshidratada Spiritulina x100 g. Cultivada en Colombia. Cumaral, Meta.","https://biotico.co/tienda/proteinas-vegetarianas/spiritulina/","","","","$38,500"
"1604870862-2333","https://biotico.co/","Ir a la tienda","https://biotico.co/tienda/","Frijol verde orgánico en cáscara. Certificado Ecocert. 500 g","https://biotico.co/tienda/verduras-organicas-2/frijol-verde-organico-en-cascara-certificado-ecocert-500-g/","Frijol verde orgánico en cáscara. Certificado Ecocert. 500 g","","",""
"1604870785-2273","https://biotico.co/","Ir a la tienda","https://biotico.co/tienda/","Pepino Cohombro Monterrey, Casanare. BPA  Unidad (350 – 400 g Aprox)","https://biotico.co/tienda/verduras-organicas-2/pepino-cohombro-monterrey-casanare-bpa-500-g/","","https://i1.wp.com/biotico.co/wp-content/uploads/2020/09/cohombro.jpg?ssl=1","",""
"1604870649-2165","https://biotico.co/","Ir a la tienda","https://biotico.co/tienda/","P. Pierna pernil de pollo campesino empacada al vacío. Pacho, Cund. – (1.000 g)","https://biotico.co/tienda/pollo-campesino/pierna-pernil-de-pollo-campesino-empacada-al-vacio-1-000-g/","","https://i0.wp.com/biotico.co/wp-content/uploads/2020/08/pierna-pernil.jpg?ssl=1","",""
"1604870407-1974","https://biotico.co/","Ir a la tienda","https://biotico.co/tienda/","Fruta: Mango Tommy x unidad. Unidades Agrícolas Asociadas.","https://biotico.co/tienda/frutasbiotico/mangotommy/","Fruta: Mango Tommy x unidad. Unidades Agrícolas Asociadas.","","",""
"1604870901-2362","https://biotico.co/","Ir a la tienda","https://biotico.co/tienda/","Cebolla Tokyo Long White orgánica certificada por Ecocert. Verde Fresco Orgánico. Madrid, Cund","https://biotico.co/tienda/verduras-organicas-2/cebolla-tokyo-long-white-organica-ecocert/","Cebolla Tokyo Long White orgánica certificada por Ecocert. Verde Fresco Orgánico. Madrid, Cund","","",""
"1604870350-1923","https://biotico.co/","Ir a la tienda","https://biotico.co/tienda/","Lavaloza biodegradable Toronja –  500 mL. Ecolepont","https://biotico.co/tienda/jabon-ecologico/lozaecolpont/","Lavaloza biodegradable Toronja –  500 mL. Ecolepont","","",""
"1604870399-1969","https://biotico.co/","Ir a la tienda","https://biotico.co/tienda/","Fruta: Piña miel. Monterrey, Casanare BPA.","https://biotico.co/tienda/frutasbiotico/pina-miel-monterrey-casanare-bpa/","","https://i0.wp.com/biotico.co/wp-content/uploads/2020/09/pina-miel-1.jpg?ssl=1","",""
"1604870612-2139","https://biotico.co/","Ir a la tienda","https://biotico.co/tienda/",".Café Devoción orgánico – MOLIDO (340 g)","https://biotico.co/tienda/cafes-de-especialidad-y-organicos/organicodevociongrano/","","","","$27,500"
"1604870321-1893","https://biotico.co/","Ir a la tienda","https://biotico.co/tienda/","Jabón para manos ecológico. Coco y vainilla x galón. Eco Le Pont","https://biotico.co/tienda/jabon-ecologico/jabonmanosgalon/","","https://i2.wp.com/biotico.co/wp-content/uploads/2020/07/20200704_232300.png?ssl=1","",""
"1604870715-2213","https://biotico.co/","Ir a la tienda","https://biotico.co/tienda/","Plátano agroecológico. Unidades Agrícolas Asociadas. Monterrey, Casanare. (Unidad)","https://biotico.co/tienda/agroecologicos/platanomaduroorganico-agricultura-familiar-fresno-tolima-x-500-g/","Plátano agroecológico. Unidades Agrícolas Asociadas. Monterrey, Casanare. (Unidad)","","",""
"1604870443-2007","https://biotico.co/","Ir a la tienda","https://biotico.co/tienda/","Tofu Om shanti Om. Con soya colombiana No GMO – (500 g)","https://biotico.co/tienda/proteinas-vegetarianas/tofu/","","","","$12,000"
"1604870612-2137","https://biotico.co/","Ir a la tienda","https://biotico.co/tienda/",".Café Devoción orgánico – MOLIDO (340 g)","https://biotico.co/tienda/cafes-de-especialidad-y-organicos/organicodevociongrano/",".Café Devoción orgánico – MOLIDO (340 g)","","",""
"1604870901-2363","https://biotico.co/","Ir a la tienda","https://biotico.co/tienda/","Cebolla Tokyo Long White orgánica certificada por Ecocert. Verde Fresco Orgánico. Madrid, Cund","https://biotico.co/tienda/verduras-organicas-2/cebolla-tokyo-long-white-organica-ecocert/","","https://i1.wp.com/biotico.co/wp-content/uploads/2019/03/tokyo.jpg?ssl=1","",""
"1604870953-2404","https://biotico.co/","Ir a la tienda","https://biotico.co/tienda/","Ajos negros. Paquete de ajos negros y dulces gracias a la aplicación de la reacción de Maillard de manera artesanal por más de 50 horas 125 g -(4 ajos aprox)","https://biotico.co/tienda/verduras-organicas-2/ajonegro/","","","","$21,000"
"1604870361-1944","https://biotico.co/","Ir a la tienda","https://biotico.co/tienda/","Tierra 100% orgánica tamizada para agricultura urbana 6 Kg","https://biotico.co/tienda/agricultura-urbana/tierraorganica/","","","","$9,000"
"1604870793-2279","https://biotico.co/","Ir a la tienda","https://biotico.co/tienda/","Ortiga orgánica – Verde Fresco Orgánico. Madrid, Cund.","https://biotico.co/tienda/verduras-organicas/ortiga/","","https://i0.wp.com/biotico.co/wp-content/uploads/2020/08/ortiga.jpeg?ssl=1","",""
"1604870926-2382","https://biotico.co/","Ir a la tienda","https://biotico.co/tienda/","Calabacín amarillo orgánico x 500 g.  Verde Fresco Orgánico. Madrid, Cund.","https://biotico.co/tienda/verduras-organicas-2/calabacin-amarillo-x-500-g-ecocert/","","","","$4,500"
"1604870688-2194","https://biotico.co/","Ir a la tienda","https://biotico.co/tienda/","Mantequilla 100% leche (140 g) Ganadería sostenible. Subachoque, Cund.","https://biotico.co/tienda/lacteos/mantequillaecologica/","Mantequilla 100% leche (140 g) Ganadería sostenible. Subachoque, Cund.","","",""
